Artist,Auction_opening_bid,auction_protected,Bloomies cost,Bloomies-sold,Category,circa,Country Of Origin,Featured Poster,Height,JPG,JPG_180_DPI,JPG_300_DPI,Manufaturer Date,Product ID,Product Name,Web Date Added,Web Keywords,Web Main Category,Web price,Web Relevance,Web Sub Category,Width
ANONYMOUS,,,350,,"AMERICAN
PRODUCTS
UNIQUE
RFA 2",C,American/America,,27,535.jpg,535-180DPI.jpg,535-300DPI.jpg,1903,535,SATIN SKIN POWDER,8/10/18,"SOAP
cosmetic
$1,000 & Under
GIFTS FOR HER
Valentines Day 2017
Mother
For Your Better Half",Products,800,2,Cosmetics/Soaps,41
BOB LEE HICKSON,,,175,,"AMERICAN
ENTERTAIN
CATALOG ITEM
UNIQUE",,American/America,,29.5,548.jpg,548-180DPI.jpg,548-300DPI.jpg,1973,548,WNEW FRANK SINATRA,8/13/18,"AMERICAN
JAZZ
SINGER
Father
HAT
RADIO
For Your Better Half
Hind2
FATHER'S DAY
nostalgia
patterson
gift show
new york
GIFTS FOR HIM
$500 & UNDER
TOP PICKS
 
$500 & Under",Entertainment,500,5,"Entertainers
Music
Radio/TV",45.5
PERON,150,,350,,"FRENCH
PRODUCTS
MULTIPLE
EQUESTRIAN
GO-Ant
THUMBNAILS
GIFT-SHOW",,French/France,,21,754.jpg,754-180DPI.jpg,754-300DPI.jpg,1949,754,SUPROL,8/13/18,"FRENCH
WOMEN
HORSES
GOANT
for-her
ANIMAL
oil
",Products,650,3,"Cosmetics/Soaps
Equestrian",27
DANIELE BUZZI,,,600,,"FRENCH
TRAVEL
UNIQUE",,Swiss/Switzerland,,25.5,4173.jpg,4173-180DPI.jpg,4173-300DPI.jpg,1943,4173,TESSIN - BUZZI,8/13/18,"tessin
church
railing 
balcony
GRAND TOUR
blues
ticino
swiss
switzerland
SUMMER FUN
Estate Collection
SUMMER",Travel,900,3,Swiss-Travel,39.5
ANONYMOUS,200,,,,"SPANISH
LIQUOR
FASHION
MULTIPLE
CATALOG ITEM
Liq
ART.COM
GO-Ant
GIFT-SHOW
THUMBNAILS
SELECT. JODI",C,Spanish/Spain,,31,603.jpg,603-180DPI.jpg,603-300DPI.jpg,1925,603,VERMOUTH PERUCCHI,11/29/17,"SPANISH
FASHION
CHERUB
COUPLES
POPULAR POSTER
ART DECO
valentine
flash
spain
For Your Better Half",Liquor,500,3,Spirits,43
ARNOUX,300,425,375,select bloomies,"FRENCH
LIQUOR
MULTIPLE
CATALOG ITEM
Liq
RFA 2
GIFT
RFA 4-03
GIFT-SHOW
THUMBNAILS
GO-Ant
Box A
GING
DAVID",C,French/France,,31.5,611.jpg,611-180DPI.jpg,611-300DPI.jpg,1920,611,VINS DE BOURGOGNE,4/3/18,"FRENCH
MEN
BURGUNDY
FATHER'S DAY
WINE
Father's Day
$1,000 & Under
GIFTS FOR HIM",Liquor,750,2,"Wine
Fruit/Vegetables",47
CASSANDRE,,,1800,,"LIQUOR
FRENCH
UNIQUE",,French/France,Featured Poster,27.5,619.jpg,619-180DPI.jpg,619-300DPI.jpg,1984,619,WILLI'S WINE BAR CASSANDRE,4/3/18,"wine
paris
casssandre
glass
bar
paris
red
deco
willi



 
",Liquor,2500,5,Wine,39
BERNARD VILLEMOT,250,450,750,,"FRENCH
FASHION
PRODUCTS
MULTIPLE
CATALOG ITEM
RFA 2
RFA 4-03
GIFT-SHOW",,French/France,Featured Poster,47,5267.jpg,5267-180DPI.jpg,5267-300DPI.jpg,1989,5267,BALLY KICK LARGE,6/26/18,"Holiday Guide 2016
FRENCH
PRODUCTS
Mother
WOMEN
shoe
LEATHER
DOT
KICK
TOP PICKS
$5,000 & UNDER
mid century
MODERN","Products
Featured Posters",1500,5,"Fashion
POPULAR POSTERS",66
SOUBIE,,,,,"FRENCH
TRAVEL
SPORTS
UNIQUE",C,French/France,,29.75,5268.jpg,5268-180DPI.jpg,5268-300DPI.jpg,1930,5268,VICHY - SOUBIE,7/19/17,"GOLF
RESORT
balch
collect
Above $5,000
summer
GRAND TOUR
SUMMER FUN
SUMMER
plm
p.l.m.",Travel,5600,2,Golf,41
JULES CHERET,,,300,,"FRENCH
UNIQUE
PRODUCTS
ENTERTAIN",,French/France,,11.5,5279.jpg,5279-180DPI.jpg,5279-300DPI.jpg,1895,5279,MAITRES DE L'AFFICHE - PL.41 PANTOMIMES LUMINEUSES,8/13/18,"MUSEE GREVIN
THEATRE
THEATER
DANCE
MOULIN ROUGE
DANCE
CABARET
BELLE EPOQUE",Entertainment,500,1,Theater/Opera,15.5
